edition,dlnumber,url,filename
"Citrix Virtual Apps and Desktops 7 1811, All Editions - Citrix",15550,https://secureportal.citrix.com/udl.asp?DLID=15550&URL=https://downloads.citrix.com/15550/VDAServerSetup_1811.exe,VDAServerSetup_1811.exe
"Citrix Virtual Apps and Desktops 7 1811, All Editions - Citrix",15551,https://secureportal.citrix.com/udl.asp?DLID=15551&URL=https://downloads.citrix.com/15551/VDAWorkstationSetup_1811.exe,VDAWorkstationSetup_1811.exe
"Citrix Virtual Apps and Desktops 7 1811, All Editions - Citrix",15552,https://secureportal.citrix.com/udl.asp?DLID=15552&URL=https://downloads.citrix.com/15552/VDAWorkstationCoreSetup_1811.exe,VDAWorkstationCoreSetup_1811.exe
"Citrix Virtual Apps and Desktops 7 1811, All Editions - Citrix",9803,https://secureportal.citrix.com/udl.asp?DLID=9803&URL=https://downloads.citrix.com/9803/Citrix_Licensing_11.15.0.0_BUILD_26000.zip,Citrix_Licensing_11.15.0.0_BUILD_26000.zip
"Citrix Virtual Apps and Desktops 7 1811, All Editions - Citrix",15556,https://secureportal.citrix.com/udl.asp?DLID=15556&URL=https://downloads.citrix.com/15556/ProfileMgmt_1811.zip,ProfileMgmt_1811.zip
"Citrix Virtual Apps and Desktops 7 1811, All Editions - Citrix",15553,https://secureportal.citrix.com/udl.asp?DLID=15553&URL=https://downloads.citrix.com/15553/CitrixStoreFront-x64.exe,CitrixStoreFront-x64.exe
"Citrix Virtual Apps and Desktops 7 1811, All Editions - Citrix",12292,https://secureportal.citrix.com/udl.asp?DLID=12292&URL=https://downloads.citrix.com/12292/MMCFormsShim.zip,MMCFormsShim.zip
"Citrix Virtual Apps and Desktops 7 1808, All Editions - Citrix",15146,https://secureportal.citrix.com/udl.asp?DLID=15146&URL=https://downloads.citrix.com/15146/Citrix_Virtual_Apps_and_Desktops_7_1808_2.iso,Citrix_Virtual_Apps_and_Desktops_7_1808_2.iso
"Citrix Virtual Apps and Desktops 7 1808, All Editions - Citrix",15053,https://secureportal.citrix.com/udl.asp?DLID=15053&URL=https://downloads.citrix.com/15053/VDAServerSetup_1808_2.exe,VDAServerSetup_1808_2.exe
"Citrix Virtual Apps and Desktops 7 1808, All Editions - Citrix",15054,https://secureportal.citrix.com/udl.asp?DLID=15054&URL=https://downloads.citrix.com/15054/VDAWorkstationSetup_1808_2.exe,VDAWorkstationSetup_1808_2.exe
"Citrix Virtual Apps and Desktops 7 1808, All Editions - Citrix",15055,https://secureportal.citrix.com/udl.asp?DLID=15055&URL=https://downloads.citrix.com/15055/VDAWorkstationCoreSetup_1808_2.exe,VDAWorkstationCoreSetup_1808_2.exe
"Citrix Virtual Apps and Desktops 7 1808, All Editions - Citrix",9803,https://secureportal.citrix.com/udl.asp?DLID=9803&URL=https://downloads.citrix.com/9803/Citrix_Licensing_11.15.0.0_BUILD_25000.zip,Citrix_Licensing_11.15.0.0_BUILD_25000.zip
"Citrix Virtual Apps and Desktops 7 1808, All Editions - Citrix",15056,https://secureportal.citrix.com/udl.asp?DLID=15056&URL=https://downloads.citrix.com/15056/ProfileMgmt_1808.zip,ProfileMgmt_1808.zip
"Citrix Virtual Apps and Desktops 7 1808, All Editions - Citrix",15057,https://secureportal.citrix.com/udl.asp?DLID=15057&URL=https://downloads.citrix.com/15057/CitrixStoreFront-x64.exe,CitrixStoreFront-x64.exe
"Citrix Virtual Apps and Desktops 7 1808, All Editions - Citrix",12292,https://secureportal.citrix.com/udl.asp?DLID=12292&URL=https://downloads.citrix.com/12292/MMCFormsShim.zip,MMCFormsShim.zip
"XenApp 7.18 / XenDesktop 7.18, All Editions - Citrix",14705,https://secureportal.citrix.com/udl.asp?DLID=14705&URL=https://downloads.citrix.com/14705/XenApp_and_XenDesktop_7_18.iso,XenApp_and_XenDesktop_7_18.iso
"XenApp 7.18 / XenDesktop 7.18, All Editions - Citrix",14708,https://secureportal.citrix.com/udl.asp?DLID=14708&URL=https://downloads.citrix.com/14708/VDAServerSetup_7.18.exe,VDAServerSetup_7.18.exe
"XenApp 7.18 / XenDesktop 7.18, All Editions - Citrix",14709,https://secureportal.citrix.com/udl.asp?DLID=14709&URL=https://downloads.citrix.com/14709/VDAWorkstationSetup_7.18.exe,VDAWorkstationSetup_7.18.exe
"XenApp 7.18 / XenDesktop 7.18, All Editions - Citrix",14710,https://secureportal.citrix.com/udl.asp?DLID=14710&URL=https://downloads.citrix.com/14710/VDAWorkstationCoreSetup_7.18.exe,VDAWorkstationCoreSetup_7.18.exe
"XenApp 7.18 / XenDesktop 7.18, All Editions - Citrix",9803,https://secureportal.citrix.com/udl.asp?DLID=9803&URL=https://downloads.citrix.com/9803/Citrix_Licensing_11.15.0.0_BUILD_24100.zip,Citrix_Licensing_11.15.0.0_BUILD_24100.zip
"XenApp 7.18 / XenDesktop 7.18, All Editions - Citrix",14711,https://secureportal.citrix.com/udl.asp?DLID=14711&URL=https://downloads.citrix.com/14711/ProfileMgmt-7.18.0.zip,ProfileMgmt-7.18.0.zip
"XenApp 7.18 / XenDesktop 7.18, All Editions - Citrix",14712,https://secureportal.citrix.com/udl.asp?DLID=14712&URL=https://downloads.citrix.com/14712/CitrixStoreFront-x64.exe,CitrixStoreFront-x64.exe
"XenApp 7.18 / XenDesktop 7.18, All Editions - Citrix",12292,https://secureportal.citrix.com/udl.asp?DLID=12292&URL=https://downloads.citrix.com/12292/MMCFormsShim.zip,MMCFormsShim.zip
"XenApp 7.17 / XenDesktop 7.17, All Editions - Citrix",14338,https://secureportal.citrix.com/udl.asp?DLID=14338&URL=https://downloads.citrix.com/14338/XenApp_and_XenDesktop_7_17.iso,XenApp_and_XenDesktop_7_17.iso
"XenApp 7.17 / XenDesktop 7.17, All Editions - Citrix",14341,https://secureportal.citrix.com/udl.asp?DLID=14341&URL=https://downloads.citrix.com/14341/VDAServerSetup_7.17.exe,VDAServerSetup_7.17.exe
"XenApp 7.17 / XenDesktop 7.17, All Editions - Citrix",14342,https://secureportal.citrix.com/udl.asp?DLID=14342&URL=https://downloads.citrix.com/14342/VDAWorkstationSetup_7.17.exe,VDAWorkstationSetup_7.17.exe
"XenApp 7.17 / XenDesktop 7.17, All Editions - Citrix",14343,https://secureportal.citrix.com/udl.asp?DLID=14343&URL=https://downloads.citrix.com/14343/VDAWorkstationCoreSetup_7.17.exe,VDAWorkstationCoreSetup_7.17.exe
"XenApp 7.17 / XenDesktop 7.17, All Editions - Citrix",9803,https://secureportal.citrix.com/udl.asp?DLID=9803&URL=https://downloads.citrix.com/9803/Citrix_Licensing_11.14.0.1_BUILD_23101.zip,Citrix_Licensing_11.14.0.1_BUILD_23101.zip
